year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,102137,S,Aggeler Community Day,Los Angeles Unified,Los Angeles,No,1,30,0,,,,,,,9,2,,,,,,
2018-19,1.96473E+13,19,1964733,102921,S,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,No,0.620985011,118,97,86,88.66,63,64.95,62,63.92,105,103,98,95.15,89,86.41,87,84.47
2018-19,1.96473E+13,19,1964733,106435,S,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,Yes,0.954545455,86,70,23,32.86,4,5.71,3,4.29,67,48,19,39.58,6,12.5,6,12.5
2018-19,1.96473E+13,19,1964733,137612,S,Valley International Preparatory High,Los Angeles Unified,Los Angeles,Yes,0.242718447,71,38,33,86.84,18,47.37,18,47.37,57,29,27,93.1,21,72.41,21,72.41
2018-19,1.96473E+13,19,1964733,124412,S,Sonia Sotomayor Arts and Sciences Academies,Los Angeles Unified,Los Angeles,No,0.947154472,108,84,28,33.33,11,13.1,9,10.71,115,102,36,35.29,8,7.84,8,7.84
2018-19,1.96473E+13,19,1964733,132027,S,University Preparatory Value High,Los Angeles Unified,Los Angeles,Yes,0.908141962,113,97,34,35.05,15,15.46,14,14.43,114,102,27,26.47,16,15.69,15,14.71
2018-19,1.96473E+13,19,1964733,1930973,S,Simon Rodia Continuation,Los Angeles Unified,Los Angeles,No,0.931578947,30,0,,,,,,,91,15,3,20,0,0,0,0
2018-19,1.96473E+13,19,1964733,1931690,S,Independence Continuation,Los Angeles Unified,Los Angeles,No,0.732142857,32,1,,,,,,,35,0,,,,,,
2018-19,1.96473E+13,19,1964733,121293,S,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,Yes,0.882154882,89,18,10,55.56,5,27.78,5,27.78,82,42,25,59.52,7,16.67,6,14.29
2018-19,1.96473E+13,19,1964733,124362,S,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,No,0.64953271,262,107,57,53.27,28,26.17,25,23.36,270,237,121,51.05,46,19.41,41,17.3
2018-19,1.96473E+13,19,1964733,1939305,S,George Washington Preparatory High,Los Angeles Unified,Los Angeles,No,0.9004914,197,60,15,25,4,6.67,2,3.33,243,194,54,27.84,13,6.7,12,6.19
2018-19,1.96473E+13,19,1964733,1995448,S,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,No,0.853304675,403,274,198,72.26,124,45.26,115,41.97,429,439,319,72.67,234,53.3,219,49.89
2018-19,1.96473E+13,19,1964733,125989,S,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,No,0.976576577,124,69,39,56.52,17,24.64,13,18.84,131,119,62,52.1,39,32.77,32,26.89
2018-19,1.96473E+13,19,1964733,126573,S,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,No,0.911684783,141,31,6,19.35,2,6.45,2,6.45,200,147,25,17.01,2,1.36,2,1.36
2018-19,1.96473E+13,19,1964733,1930296,S,Harris Newmark Continuation,Los Angeles Unified,Los Angeles,No,0.965753425,34,0,,,,,,,44,26,3,11.54,0,0,0,0
2018-19,1.96473E+13,19,1964733,1930577,S,Pueblo de Los Angeles Continuation,Los Angeles Unified,Los Angeles,No,0.915492958,44,1,,,,,,,4,17,0,0,0,0,0,0
2018-19,1.96473E+13,19,1964733,116509,S,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,Yes,0.926940639,73,16,6,37.5,2,12.5,1,6.25,77,0,,,,,,
