year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,120360,S,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,No,0.621212121,71,42,35,83.33,20,47.62,20,47.62,88,87,63,72.41,27,31.03,27,31.03
2018-19,1.96473E+13,19,1964733,124479,S,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,No,0.94534413,147,97,27,27.84,6,6.19,6,6.19,234,224,28,12.5,6,2.68,4,1.79
2018-19,1.96473E+13,19,1964733,101683,S,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,Yes,0.619133574,44,14,,,,,,,47,30,24,80,13,43.33,13,43.33
2018-19,1.96473E+13,19,1964733,106831,S,Animo Venice Charter High,Los Angeles Unified,Los Angeles,Yes,0.885950413,132,24,16,66.67,10,41.67,10,41.67,160,134,69,51.49,37,27.61,32,23.88
2018-19,1.96473E+13,19,1964733,106997,S,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,No,0.928486293,168,134,87,64.93,44,32.84,39,29.1,180,189,112,59.26,68,35.98,62,32.8
2018-19,1.96473E+13,19,1964733,100800,S,Central City Value,Los Angeles Unified,Los Angeles,Yes,0.950854701,105,83,28,33.73,11,13.25,10,12.05,98,48,27,56.25,12,25,11,22.92
2018-19,1.96473E+13,19,1964733,1931971,S,John Hope Continuation,Los Angeles Unified,Los Angeles,No,0.986842105,13,0,,,,,,,28,16,2,12.5,0,0,0,0
2018-19,1.96473E+13,19,1964733,1934157,S,Huntington Park Senior High,Los Angeles Unified,Los Angeles,No,0.930785869,301,130,41,31.54,14,10.77,13,10,343,311,96,30.87,45,14.47,32,10.29
2018-19,1.96473E+13,19,1964733,122366,S,Social Justice Leadership Academy at Esteban E. Torres High No. 5,Los Angeles Unified,Los Angeles,No,0.929230769,90,55,23,41.82,4,7.27,3,5.45,71,71,11,15.49,6,8.45,4,5.63
2018-19,1.96473E+13,19,1964733,123141,S,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,Yes,0.9325,59,57,28,49.12,19,33.33,17,29.82,111,108,50,46.3,34,31.48,29,26.85
