year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647331939941.0,19.0,1964733.0,1939941.0,S,Los Angeles Unified,Los Angeles,John F. Kennedy High,No,0.7513835674755215,463.0,32.0,21,20,21,20,14,43.75
2018-19,19647331932987.0,19.0,1964733.0,1932987.0,S,Los Angeles Unified,Los Angeles,John H. Francis Polytechnic,No,0.8760894278135657,675.0,44.0,23,22,24,23,26,59.09
2018-19,19647331935568.0,19.0,1964733.0,1935568.0,S,Los Angeles Unified,Los Angeles,John Marshall Senior High,No,0.7328853422931542,552.0,77.0,23,22,22,22,49,63.64
2018-19,19647331933001.0,19.0,1964733.0,1933001.0,S,Los Angeles Unified,Los Angeles,King/Drew Medical Magnet High,No,0.8481174218251436,334.0,102.0,21,19,19,19,40,39.22
2018-19,19647330126516.0,19.0,1964733.0,126516.0,S,Los Angeles Unified,Los Angeles,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,No,0.9,144.0,88.0,16,16,17,17,8,9.09
2018-19,19647330126524.0,19.0,1964733.0,126524.0,S,Los Angeles Unified,Los Angeles,Linda Esperanza Marquez High B LIBRA Academy,No,0.9374110953058321,141.0,37.0,18,18,18,18,10,27.03
2018-19,19647330126532.0,19.0,1964733.0,126532.0,S,Los Angeles Unified,Los Angeles,Linda Esperanza Marquez High C School of Social Justice,No,0.9479940564635958,122.0,61.0,16,15,16,17,4,6.56
2018-19,19647331932847.0,19.0,1964733.0,1932847.0,S,Los Angeles Unified,Los Angeles,Los Angeles Center for Enriched Studies,No,0.5395209580838324,210.0,61.0,27,28,28,27,56,91.8
2018-19,19647330117747.0,19.0,1964733.0,117747.0,S,Los Angeles Unified,Los Angeles,Los Angeles High School of the Arts,No,0.909297052154195,108.0,17.0,22,22,18,20,10,58.82
2018-19,19647331935519.0,19.0,1964733.0,1935519.0,S,Los Angeles Unified,Los Angeles,Manual Arts Senior High,No,0.8999253174010455,377.0,80.0,15,14,16,16,5,6.25
2018-19,19647330126136.0,19.0,1964733.0,126136.0,S,Los Angeles Unified,Los Angeles,Math and Science College Preparatory,Yes,0.9271402550091075,155.0,148.0,16,16,18,17,28,18.92
2018-19,19647330122333.0,19.0,1964733.0,122333.0,S,Los Angeles Unified,Los Angeles,Math Science & Technology Magnet Academy at Roosevelt High,No,0.6452830188679245,104.0,66.0,19,19,19,19,21,31.82
2018-19,19647330109462.0,19.0,1964733.0,109462.0,S,Los Angeles Unified,Los Angeles,Maywood Academy High,No,0.9175510204081633,249.0,26.0,18,16,17,18,5,19.23
2018-19,19647330102913.0,19.0,1964733.0,102913.0,S,Los Angeles Unified,Los Angeles,Middle College High,No,0.8539603960396039,88.0,26.0,19,19,19,18,8,30.77
